transaction_id,customer_id,transaction_date,product_category,product_name,quantity,unit_price,total_amount,currency,payment_method,payment_status,shipping_cost,tax_amount,discount_amount,order_source,customer_segment,source,extracted_at
TXN_20251001_000025,VN_CUST_000762,2025-08-26T21:55:24.572959,Computing,Electronics Product 1424,3,417.61,1361.74,USD,Cash,Failed,13.56,100.23,4.88,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572965
TXN_20251001_000026,CUST_00000618,2025-04-28T21:55:24.572970,Mobile,Electronics Product 8192,2,267.45,543.13,USD,PayPal,Pending,6.54,42.79,41.1,Mobile App,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572975
TXN_20251001_000027,VN_CUST_000850,2025-03-22T21:55:24.572980,Mobile,Electronics Product 1904,5,946.92,5077.93,USD,PayPal,Completed,27.88,378.77,63.32,Phone,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572985
TXN_20251001_000028,VN_CUST_000387,2025-08-18T21:55:24.572989,Mobile,Electronics Product 1285,3,855.97,2737.13,USD,Credit Card,Completed,30.47,205.43,66.68,Phone,Premium,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572994
TXN_20251001_000029,VN_CUST_000919,2024-11-26T21:55:24.572999,Gaming,Electronics Product 5859,1,530.37,573.91,USD,Bank Transfer,Failed,44.17,42.43,43.06,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573004
TXN_20251001_000030,CUST_00000607,2025-01-19T21:55:24.573008,Computing,Electronics Product 6028,4,1980.15,8544.93,USD,Bank Transfer,Completed,27.62,633.65,36.94,Phone,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573013
TXN_20251001_000031,VN_CUST_000872,2025-03-30T21:55:24.573017,Electronics,Electronics Product 6325,3,1806.88,5891.16,USD,PayPal,Completed,49.58,433.65,12.71,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573022
TXN_20251001_000032,CUST_00000265,2025-05-23T21:55:24.573027,Audio,Electronics Product 6772,5,954.78,5179.37,USD,Credit Card,Failed,46.73,381.91,23.17,Mobile App,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573032
TXN_20251001_000033,CUST_00000977,2024-10-05T21:55:24.573036,Audio,Electronics Product 7520,1,1177.22,1251.71,USD,PayPal,Failed,6.99,94.18,26.68,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573041
TXN_20251001_000034,VN_CUST_000778,2025-03-18T21:55:24.573045,Gaming,Electronics Product 2192,4,493.23,2161.28,USD,Credit Card,Failed,37.38,157.83,6.85,Web,Premium,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573050
TXN_20251001_000035,CUST_00000328,2025-06-07T21:55:24.573054,Gaming,Electronics Product 6685,2,1119.89,2397.55,USD,Cash,Completed,7.54,179.18,28.95,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573060
TXN_20251001_000036,CUST_00000771,2025-09-22T21:55:24.573066,Audio,Electronics Product 4232,2,373.68,809.51,USD,PayPal,Failed,18.51,59.79,16.15,Mobile App,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573071
TXN_20251001_000037,VN_CUST_000138,2025-05-04T21:55:24.573076,Gaming,Electronics Product 1142,4,974.01,4214.93,USD,PayPal,Pending,44.86,311.68,37.65,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573082
TXN_20251001_000038,CUST_00000867,2025-08-22T21:55:24.573087,Mobile,Electronics Product 1266,1,206.71,237.17,USD,Credit Card,Pending,49.74,16.54,35.82,Web,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573092
TXN_20251001_000039,CUST_00000000,2024-11-26T21:55:24.573097,Gaming,Electronics Product 6694,2,1966.69,4217.44,USD,Cash,Completed,41.02,314.67,71.63,Store,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573102
TXN_20251001_000040,CUST_00000640,2025-04-03T21:55:24.573106,Computing,Electronics Product 3268,1,1545.86,1617.41,USD,Credit Card,Pending,32.52,123.67,84.64,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573112
TXN_20251001_000041,CUST_00000193,2025-01-23T21:55:24.573116,Electronics,Electronics Product 2722,3,1360.66,4392.87,USD,Bank Transfer,Completed,34.26,326.56,49.93,Web,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573121
TXN_20251001_000042,VN_CUST_000837,2025-05-03T21:55:24.573126,Electronics,Electronics Product 6174,4,970.32,4159.28,USD,Cash,Failed,21.8,310.5,54.3,Mobile App,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573131
TXN_20251001_000043,CUST_00000718,2024-12-30T21:55:24.573135,Audio,Electronics Product 4321,5,453.32,2467.61,USD,Cash,Pending,24.14,181.33,4.46,Phone,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573140
TXN_20251001_000044,VN_CUST_000430,2025-01-15T21:55:24.573145,Mobile,Electronics Product 3280,5,1688.06,9067.0,USD,Cash,Failed,11.64,675.22,60.16,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573150
TXN_20251001_000045,VN_CUST_000245,2024-11-16T21:55:24.573154,Mobile,Electronics Product 8259,4,1862.73,7975.47,USD,Bank Transfer,Pending,15.19,596.07,86.71,Mobile App,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573160
TXN_20251001_000046,VN_CUST_000323,2025-04-30T21:55:24.573165,Audio,Electronics Product 6508,3,962.33,3091.49,USD,Bank Transfer,Completed,37.21,230.96,63.67,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573170
TXN_20251001_000047,CUST_00000972,2025-03-13T21:55:24.573175,Gaming,Electronics Product 8964,3,249.22,788.26,USD,Bank Transfer,Pending,17.71,59.81,36.92,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573180
TXN_20251001_000048,CUST_00000904,2025-01-04T21:55:24.573185,Electronics,Electronics Product 7475,4,1058.36,4510.37,USD,Bank Transfer,Completed,37.41,338.68,99.16,Store,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573190
TXN_20251001_000049,VN_CUST_000780,2025-09-14T21:55:24.573194,Electronics,Electronics Product 8878,3,1639.8,5287.83,USD,Bank Transfer,Failed,45.59,393.55,70.71,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573199
TXN_20251001_000050,CUST_00000863,2025-06-18T21:55:24.573204,Computing,Electronics Product 5872,4,1791.83,7721.71,USD,Credit Card,Pending,35.72,573.39,54.72,Store,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573208
TXN_20251001_000051,VN_CUST_000827,2025-05-31T21:55:24.573213,Gaming,Electronics Product 4888,3,492.66,1511.25,USD,Credit Card,Completed,12.47,118.24,97.44,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573218
TXN_20251001_000052,VN_CUST_000159,2025-02-16T21:55:24.573228,Electronics,Electronics Product 2892,5,461.42,2429.32,USD,Cash,Failed,28.31,184.57,90.66,Phone,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573234
TXN_20251001_000053,CUST_00000107,2025-02-13T21:55:24.573239,Computing,Electronics Product 3754,3,1431.41,4626.22,USD,PayPal,Pending,32.91,343.54,44.46,Store,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573245
TXN_20251001_000054,CUST_00000172,2025-04-04T21:55:24.573250,Gaming,Electronics Product 1815,3,1976.0,6372.46,USD,Credit Card,Pending,10.92,474.24,40.7,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573255
TXN_20251001_000055,CUST_00000104,2024-10-20T21:55:24.573259,Gaming,Electronics Product 8363,4,1531.92,6596.9,USD,PayPal,Completed,31.51,490.21,52.5,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573265
TXN_20251001_000056,VN_CUST_000644,2024-10-02T21:55:24.573270,Audio,Electronics Product 9743,2,597.79,1239.63,USD,Credit Card,Pending,42.06,95.65,93.66,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573275
TXN_20251001_000057,CUST_00000568,2024-11-13T21:55:24.573279,Electronics,Electronics Product 5456,4,1939.85,8414.32,USD,PayPal,Pending,41.12,620.75,6.95,Phone,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573284
TXN_20251001_000058,VN_CUST_000130,2025-02-12T21:55:24.573289,Computing,Electronics Product 7294,3,325.29,1005.71,USD,Cash,Completed,41.74,78.07,89.97,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573294
TXN_20251001_000059,CUST_00000896,2025-06-06T21:55:24.573298,Gaming,Electronics Product 4616,2,794.38,1706.3,USD,Credit Card,Failed,15.27,127.1,24.83,Store,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573303
TXN_20251001_000060,CUST_00000529,2025-02-01T21:55:24.573309,Computing,Electronics Product 1375,3,308.43,1026.26,USD,Credit Card,Pending,45.4,74.02,18.45,Web,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573314
TXN_20251001_000061,VN_CUST_000245,2025-04-06T21:55:24.573319,Audio,Electronics Product 2451,5,952.07,5150.59,USD,PayPal,Pending,10.55,380.83,1.14,Store,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573324
TXN_20251001_000062,CUST_00000749,2025-06-11T21:55:24.573329,Gaming,Electronics Product 1278,2,220.06,504.88,USD,Credit Card,Failed,45.47,35.21,15.92,Mobile App,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573334
TXN_20251001_000063,CUST_00000055,2025-05-16T21:55:24.573338,Electronics,Electronics Product 8059,3,1755.16,5695.92,USD,Cash,Completed,16.68,421.24,7.48,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573343
TXN_20251001_000064,CUST_00000057,2024-10-01T21:55:24.573347,Gaming,Electronics Product 2505,3,275.46,845.7,USD,Cash,Pending,33.35,66.11,80.14,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573353
TXN_20251001_000065,VN_CUST_000975,2025-02-26T21:55:24.573357,Computing,Electronics Product 7672,5,735.5,4000.09,USD,PayPal,Completed,47.98,294.2,19.59,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573364
TXN_20251001_000066,VN_CUST_000629,2024-10-29T21:55:24.573368,Electronics,Electronics Product 1951,4,1986.54,8567.97,USD,Cash,Pending,43.21,635.69,57.09,Phone,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573373
TXN_20251001_000067,VN_CUST_000086,2025-07-28T21:55:24.573378,Audio,Electronics Product 3736,3,1256.44,4045.15,USD,PayPal,Completed,6.81,301.55,32.53,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573383
TXN_20251001_000068,VN_CUST_000029,2025-06-11T21:55:24.573387,Audio,Electronics Product 6267,4,649.24,2756.44,USD,Cash,Failed,46.8,207.76,95.08,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573392
TXN_20251001_000069,CUST_00000634,2024-11-16T21:55:24.573397,Computing,Electronics Product 4995,4,1530.03,6607.28,USD,Bank Transfer,Failed,21.0,489.61,23.45,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573402
TXN_20251001_000070,CUST_00000886,2025-02-10T21:55:24.573407,Mobile,Electronics Product 4160,2,1559.26,3291.57,USD,Bank Transfer,Pending,5.62,249.48,82.05,Phone,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573412
TXN_20251001_000071,CUST_00000418,2024-11-09T21:55:24.573417,Electronics,Electronics Product 6864,2,1001.09,2183.92,USD,Cash,Failed,36.68,160.17,15.11,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573422
TXN_20251001_000072,CUST_00000535,2025-08-24T21:55:24.573426,Electronics,Electronics Product 7685,1,381.39,387.71,USD,Cash,Failed,14.71,30.51,38.9,Mobile App,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573432
TXN_20251001_000073,VN_CUST_000287,2024-12-22T21:55:24.573436,Electronics,Electronics Product 7980,4,222.96,897.67,USD,Cash,Completed,34.38,71.35,99.9,Store,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573441
TXN_20251001_000074,CUST_00000995,2025-08-24T21:55:24.573446,Gaming,Electronics Product 9045,3,134.37,367.2,USD,Cash,Failed,20.72,32.25,88.88,Phone,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573451
TXN_20251001_000075,VN_CUST_000589,2024-10-09T21:55:24.573455,Audio,Electronics Product 3568,2,1016.41,2174.8,USD,Credit Card,Failed,8.61,162.63,29.26,Mobile App,Premium,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573461
TXN_20251001_000076,CUST_00000246,2025-06-10T21:55:24.573466,Mobile,Electronics Product 7776,5,1311.5,7049.49,USD,PayPal,Failed,14.74,524.6,47.35,Phone,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573471
TXN_20251001_000077,VN_CUST_000410,2025-04-26T21:55:24.573477,Audio,Electronics Product 3574,1,463.63,418.34,USD,Credit Card,Pending,10.79,37.09,93.17,Phone,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573482
TXN_20251001_000078,VN_CUST_000678,2025-06-02T21:55:24.573487,Computing,Electronics Product 2511,5,1849.86,9906.59,USD,Cash,Completed,7.76,739.94,90.41,Phone,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573492
TXN_20251001_000079,VN_CUST_000425,2025-07-30T21:55:24.573497,Computing,Electronics Product 7826,1,892.15,906.86,USD,Bank Transfer,Completed,33.45,71.37,90.11,Phone,Premium,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573502
TXN_20251001_000080,CUST_00000182,2024-11-27T21:55:24.573506,Gaming,Electronics Product 8570,5,546.32,2916.04,USD,Credit Card,Completed,30.25,218.53,64.34,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573511
TXN_20251001_000081,VN_CUST_000871,2024-11-26T21:55:24.573515,Electronics,Electronics Product 1264,2,612.44,1353.45,USD,Cash,Pending,30.66,97.99,0.08,Store,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573521
TXN_20251001_000082,CUST_00000035,2024-12-14T21:55:24.573526,Electronics,Electronics Product 6626,1,126.19,91.21,USD,Credit Card,Completed,19.3,10.1,64.38,Mobile App,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573531
TXN_20251001_000083,VN_CUST_000565,2024-12-26T21:55:24.573536,Mobile,Electronics Product 6635,1,648.59,638.63,USD,Credit Card,Pending,32.49,51.89,94.34,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573541
TXN_20251001_000084,CUST_00000799,2025-02-15T21:55:24.573546,Computing,Electronics Product 1671,1,574.57,572.19,USD,Cash,Completed,8.34,45.97,56.69,Phone,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573551
TXN_20251001_000085,CUST_00000885,2025-03-03T21:55:24.573555,Audio,Electronics Product 3897,4,1396.06,5994.24,USD,Bank Transfer,Pending,49.93,446.74,86.67,Phone,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573562
TXN_20251001_000086,VN_CUST_000051,2025-09-13T21:55:24.573566,Computing,Electronics Product 7016,4,1116.44,4757.91,USD,PayPal,Failed,10.44,357.26,75.55,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573572
TXN_20251001_000087,VN_CUST_000722,2025-06-14T21:55:24.573576,Mobile,Electronics Product 5710,5,749.67,4045.5,USD,Cash,Pending,16.65,299.87,19.37,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573581
TXN_20251001_000088,CUST_00000337,2024-10-03T21:55:24.573586,Electronics,Electronics Product 1222,5,1443.44,7785.7,USD,Cash,Completed,41.81,577.38,50.69,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573591
TXN_20251001_000089,CUST_00000512,2025-03-22T21:55:24.573596,Audio,Electronics Product 2601,4,1701.63,7278.35,USD,Bank Transfer,Pending,9.84,544.52,82.53,Mobile App,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573601
TXN_20251001_000090,CUST_00000593,2025-07-31T21:55:24.573606,Computing,Electronics Product 8417,3,1493.51,4801.98,USD,Cash,Pending,21.32,358.44,58.31,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573611
TXN_20251001_000091,CUST_00000630,2024-11-11T21:55:24.573615,Electronics,Electronics Product 8590,3,1153.59,3655.81,USD,Cash,Completed,6.02,276.86,87.84,Store,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573620
TXN_20251001_000092,VN_CUST_000160,2024-10-27T21:55:24.573624,Audio,Electronics Product 8247,3,1845.94,5969.48,USD,PayPal,Completed,37.22,443.03,48.59,Phone,Premium,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573630
TXN_20251001_000093,VN_CUST_000940,2025-07-11T21:55:24.573634,Computing,Electronics Product 2463,2,1710.57,3674.91,USD,PayPal,Pending,47.94,273.69,67.86,Mobile App,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573639
TXN_20251001_000094,CUST_00000193,2025-09-23T21:55:24.573644,Gaming,Electronics Product 6113,2,1251.59,2701.0,USD,Cash,Completed,26.64,200.25,29.07,Mobile App,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573649
TXN_20251001_000095,CUST_00000746,2025-01-19T21:55:24.573653,Computing,Electronics Product 5816,2,841.05,1762.92,USD,Bank Transfer,Failed,42.17,134.57,95.92,Store,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573659
TXN_20251001_000096,CUST_00000324,2025-07-26T21:55:24.573664,Computing,Electronics Product 4895,5,1141.58,6114.45,USD,Bank Transfer,Completed,6.41,456.63,56.49,Mobile App,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573669
TXN_20251001_000097,VN_CUST_000398,2024-10-20T21:55:24.573673,Computing,Electronics Product 9194,3,271.51,866.19,USD,Bank Transfer,Completed,32.64,65.16,46.14,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573684
TXN_20251001_000098,VN_CUST_000594,2025-08-03T21:55:24.573690,Mobile,Electronics Product 2113,5,1926.77,10358.42,USD,Credit Card,Failed,18.46,770.71,64.6,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573695
TXN_20251001_000099,VN_CUST_000650,2025-02-26T21:55:24.573700,Computing,Electronics Product 5527,3,131.78,442.94,USD,Cash,Failed,37.21,31.63,21.24,Store,Premium,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573705
TXN_20251001_000100,VN_CUST_000364,2024-10-31T21:55:24.573710,Computing,Electronics Product 2166,2,1147.52,2400.37,USD,Bank Transfer,Pending,10.27,183.6,88.54,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573715
TXN_20251001_000101,VN_CUST_000086,2025-09-11T21:55:24.573719,Mobile,Electronics Product 3957,2,636.44,1362.37,USD,PayPal,Failed,36.04,101.83,48.38,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573724
TXN_20251001_000102,CUST_00000348,2025-08-17T21:55:24.573728,Electronics,Electronics Product 8318,2,1034.69,2174.98,USD,PayPal,Completed,22.79,165.55,82.74,Phone,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573734
TXN_20251001_000103,VN_CUST_000928,2025-04-29T21:55:24.573739,Gaming,Electronics Product 3851,4,1628.44,7038.39,USD,Credit Card,Pending,18.75,521.1,15.22,Mobile App,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573743
TXN_20251001_000104,VN_CUST_000581,2025-08-15T21:55:24.573748,Electronics,Electronics Product 5716,5,1926.84,10353.72,USD,PayPal,Completed,11.58,770.74,62.8,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573753
TXN_20251001_000105,CUST_00000340,2025-07-17T21:55:24.573758,Mobile,Electronics Product 5474,2,792.34,1665.1,USD,Credit Card,Pending,40.01,126.77,86.36,Mobile App,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573765
TXN_20251001_000106,VN_CUST_000760,2024-11-21T21:55:24.573769,Mobile,Electronics Product 8098,3,1299.91,4163.65,USD,PayPal,Completed,27.69,311.98,75.75,Mobile App,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573774
TXN_20251001_000107,VN_CUST_000267,2025-03-21T21:55:24.573779,Audio,Electronics Product 3739,1,1204.01,1225.86,USD,Cash,Pending,21.77,96.32,96.24,Store,Premium,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573784
TXN_20251001_000108,CUST_00000760,2025-01-31T21:55:24.573788,Gaming,Electronics Product 3379,4,812.32,3480.98,USD,PayPal,Completed,28.01,259.94,56.25,Mobile App,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.573793
